date_iso;time_berlin;symbol;price_eur;price_usd
2024-01-01;00:00;BTC;40004,0369;44152,2269
2024-01-02;00:00;BTC;41100,1973;44977,0381
2024-01-03;00:00;BTC;39199,1005;42830,9042
2024-01-04;00:00;BTC;40405,0054;44230,1626
2024-01-05;00:00;BTC;40297,2623;44144,4513
2024-01-06;00:00;BTC;40121,5495;43951,9631
2024-01-07;00:00;BTC;40111,9974;43881,7466
2024-01-08;00:00;BTC;42869,2619;46944,0012
2024-01-09;00:00;BTC;42162,6534;46088,4188
2024-01-10;00:00;BTC;42470,4079;46608,1898
2024-01-11;00:00;BTC;42254,2789;46393,1002
2024-01-12;00:00;BTC;39126,1072;42897,8585
2024-01-13;00:00;BTC;39072,183;42838,736
2024-01-14;00:00;BTC;38161,4369;41769,4393
2024-01-15;00:00;BTC;38904,8643;42582,9215
2024-01-16;00:00;BTC;39666,4624;43152,4934
2024-01-17;00:00;BTC;39258,0557;42730,9262
2024-01-18;00:00;BTC;37931,2539;41261,2425
2024-01-19;00:00;BTC;38158,0493;41609,5625
2024-01-20;00:00;BTC;38193,9574;41648,7187
2024-01-21;00:00;BTC;38135,2681;41535,7592
2024-01-22;00:00;BTC;36266,5572;39450,4019
2024-01-23;00:00;BTC;36682,8209;39827,3494
2024-01-24;00:00;BTC;36860,076;40110,3806
2024-01-25;00:00;BTC;36808,8782;39928,1447
2024-01-26;00:00;BTC;38545,6267;41874,3439
2024-01-27;00:00;BTC;38767,358;42115,2235
2024-01-28;00:00;BTC;38756,199;42023,4372
2024-01-29;00:00;BTC;39927,4252;43260,5184
2024-01-30;00:00;BTC;39576,1925;42911,9532
2024-01-31;00:00;BTC;39405,2055;42584,5695
2024-02-01;00:00;BTC;39608,3727;43071,7272
2024-02-02;00:00;BTC;39980,5857;43173,2474
2024-02-03;00:00;BTC;39799,8145;42978,0406
2024-02-04;00:00;BTC;39499,7296;42576,935
2024-02-05;00:00;BTC;39710,9729;42657,5884
2024-02-06;00:00;BTC;40068,6934;43100,2346
2024-02-07;00:00;BTC;41111,414;44297,9422
2024-02-08;00:00;BTC;42054,5195;45316,9795
2024-02-09;00:00;BTC;43688,9491;47116,6882
2024-02-10;00:00;BTC;44294,6786;47769,9419
2024-02-11;00:00;BTC;44705,6997;48273,2367
2024-02-12;00:00;BTC;46439,8408;50026,8672
2024-02-13;00:00;BTC;46443,813;49733,6971
2024-02-14;00:00;BTC;48280,7839;51812,1442
2024-02-15;00:00;BTC;48197,4397;51928,8942
2024-02-16;00:00;BTC;48406,5254;52167,2634
2024-02-17;00:00;BTC;47971,8751;51698,8448
2024-02-18;00:00;BTC;48326,6871;52120,8223
2024-02-19;00:00;BTC;48033,8329;51755,9668
2024-02-20;00:00;BTC;48372,224;52291,4697
2024-02-21;00:00;BTC;47942,936;51874,6731
2024-02-22;00:00;BTC;47387,0218;51298,2575
2024-02-23;00:00;BTC;46868,3724;50770,0508
2024-02-24;00:00;BTC;47594,9119;51557,073
2024-02-25;00:00;BTC;47819,004;51740,6896
2024-02-26;00:00;BTC;50235,6622;54508,2358
2024-02-27;00:00;BTC;52619,1376;57052,7032
2024-02-28;00:00;BTC;57709,6806;62547,6812
2024-02-29;00:00;BTC;56729,3466;61296,2878
2024-03-01;00:00;BTC;57615,5751;62486,3891
2024-03-02;00:00;BTC;57187,5032;62022,1281
2024-03-03;00:00;BTC;58238,7553;63141,2982
2024-03-04;00:00;BTC;62933,6888;68310,4004
2024-03-05;00:00;BTC;58842,0122;63880,386
